0,1,2,3,4,word,summary
7800.135412892374,0.725527823398076,-0.011338820176111708,-0.0017149057988911365,-0.0027860002705821785,summaryOfAllWords,6727.25992705588
-4.299238985649526,0.22697396417254057,-0.20720336262057895,-0.06089953379571461,-0.5189976533533768,Erster,2.79533765400943
-2.7457100367849603,-1.1586330241882028,-0.5016791102400844,-0.21917429566201208,-1.0966348303563236,Bodenfrost,4.765101545581387
-3.8566922038888443,-0.18075037064683053,-0.3294209853956158,-0.11746698541266673,-0.7294907628630538,erst+er boden+frost,3.3570517869735403
3.7095093315971654,-5.181445557065052,-0.8608234926292193,-0.7210946365000731,-0.09572902097665836,Bayern,12.2720755480309
-3.864542548327037,-0.17358021003066426,-0.32760707386390525,-0.11656761290837239,-0.726184327473334,boden+frost bayern,3.3470646478793276
-4.554227914522804,0.46137709093368606,-0.1136534801923696,-0.0216655961870473,-0.3695458190585524,Ist,2.475443699145065
-4.554227914522804,0.46137709093368606,-0.1136534801923696,-0.0216655961870473,-0.3695458190585524,bayern sei,2.475443699145065
-4.604732178700202,0.507123477321201,-0.09257667094364092,-0.013184587960109299,-0.3368086072512879,etwa,2.4128043317903844
-4.604732178700202,0.507123477321201,-0.09257667094364092,-0.013184587960109299,-0.3368086072512879,sei etwa,2.4128043317903844
-0.20137164895197568,-2.286830409279684,-0.3614101159564086,0.6697323971168343,0.30386962328598466,schon,7.559790741366612
-4.6324009890529485,0.5320225683263502,-0.08063175198357159,-0.008429282638126631,-0.31838062850665827,etwa schon,2.378627731422096
-4.65949756885813,0.5562758793079265,-0.06865137385044817,-0.003695482390138463,-0.2999831068444917,Zeit,2.345265040227058
-4.65949756885813,0.5562758793079265,-0.06865137385044817,-0.003695482390138463,-0.2999831068444917,schon zeit,2.345265040227058
-4.674813236965093,0.5699211754026803,-0.061753301738496524,-0.000985582665277214,-0.28942713960315203,Winterreifen,2.326457866696303
-4.674813236965093,0.5699211754026803,-0.061753301738496524,-0.000985582665277214,-0.28942713960315203,zeit winter+reifen,2.326457866696303
6.640183629155666,-5.82202726215643,1.694604594472116,0.29738623279360543,0.3181010109913832,Der,15.450259340656173
-2.0609290728951954,-1.3506738733588757,-0.7504780737919228,-0.39179923278234724,-0.19059031012836503,Deutsche,5.433546417502404
-4.046413364316663,0.10022286764014354,-0.33422664751778614,-0.13637012034295828,-0.22909485571278737,der deutsch+e,3.064182547864613
-0.04246093491009262,-2.7410332846580916,-0.8852943841701695,-0.5412886445801481,-0.19369152401428372,Wetterdienst,7.837249874860671
-2.2673215733607845,-1.208127188429568,-0.7222426509284481,-0.36951037516845103,-0.21801846043067435,deutsch+e wetter+dienst,5.188941454520811
-3.951039112078625,-0.021373687239700123,-0.3397674193701116,-0.1305627526636762,-0.4581102672046422,sagt,3.2011470167055873
-4.226771821306567,0.15993537147245762,-0.23033347617877498,-0.07106912788941802,-0.5572436473475928,wetter+dienst sag+t,2.8869812579844347
-3.8566922038888443,-0.18075037064683053,-0.3294209853956158,-0.11746698541266673,-0.7294907628630538,sag+t boden+frost,3.3570517869735403
-4.5361699895111585,0.44494017456654644,-0.1209688175042321,-0.02463720684355612,-0.38097827595448186,voraus,2.497913395391682
-4.5361699895111585,0.44494017456654644,-0.1209688175042321,-0.02463720684355612,-0.38097827595448186,bayern voraus,2.497913395391682
-4.598482603816921,0.5014824295073712,-0.09523511395478013,-0.014247867517304443,-0.34092190397414024,ADAC,2.420538208624014
-4.627292689053234,0.5274353090807549,-0.08285877118204105,-0.009313140014651045,-0.3218097891180831,empfiehlt,2.3849294701639367
-4.627292689053234,0.5274353090807549,-0.08285877118204105,-0.009313140014651045,-0.3218097891180831,adac empfehl+t,2.3849294701639367
-4.703458983166243,0.5953073469215493,-0.0486007142596811,0.004150436794785627,-0.26937146288560815,Reifenwechsel,2.291386284030168
-4.703458983166243,0.5953073469215493,-0.0486007142596811,0.004150436794785627,-0.26937146288560815,empfehl+t reifen+wechsel,2.291386284030168
-4.739176491327804,0.6266853963592922,-0.0317319149273273,0.010680036811120936,-0.24377911259110432,Bußgelder,2.2478629325211914
-4.764024458940486,0.6483122101122141,-0.01968096594735802,0.01530649081542693,-0.22558021382689936,Glätte,2.217731830628818
-4.764024458940486,0.6483122101122141,-0.01968096594735802,0.01530649081542693,-0.22558021382689936,buß+geld+er glätte,2.217731830628818
-4.774370297126419,0.6572633722577985,-0.014585360806559922,0.0172534097790348,-0.21790506854963687,möglich,2.205224389106985
-4.774370297126419,0.6572633722577985,-0.014585360806559922,0.0172534097790348,-0.21790506854963687,glätte möglich,2.205224389106985
-4.794294357488202,0.6744067022947551,-0.004640918541645167,0.02103734406777983,-0.20295944395530333,TTS,2.1812040186926898
-4.798625965841462,0.6781165275801924,-0.002455834876197438,0.021866054061052135,-0.19968115158938093,Player,2.1759938200822844
-4.798625965841462,0.6781165275801924,-0.002455834876197438,0.021866054061052135,-0.19968115158938093,tts player,2.1759938200822844
-4.80569724210312,0.6841590181326149,0.0011291656558581331,0.023223588107631407,-0.19430690034962025,darzustellen,2.1674977217040756
-4.80569724210312,0.6841590181326149,0.0011291656558581331,0.023223588107631407,-0.19430690034962025,player dar+zu+stell+en,2.1674977217040756
-4.818196579645591,0.6947969719374312,0.007520723980442234,0.025637453151247786,-0.1847385069090804,brauchen,2.1525091922151938
-4.818196579645591,0.6947969719374312,0.007520723980442234,0.025637453151247786,-0.1847385069090804,dar+zu+stell+en brauch+en,2.1525091922151938
