keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Apfelernte',0.040534687714046586,0.3206222130730398,0.9649710799195286,0.0,2.0
'Aussaat',0.3583674904332796,1.3195683295881036,-0.09763000178294483,0.43722425020751055,4.0
'Blüte',-0.7705409893090095,0.8768223708181715,0.1668950334939854,1.0921485556795212,8.0
'Eiche Laub',-0.254208691874268,1.0,-0.5763407587644809,1.0,1.0
'Eicheln',-0.86601795618567,1.0,-0.5,1.0,1.0
'Erle',0.024539567123496805,0.8047290719962332,-0.19219213076586691,0.8244015949019725,23.0
'Ernte',0.3087681727094224,1.1039781854011144,-0.027071588744742418,1.1262950467237614,32.0
'Frühblüher',0.09838991150098758,0.6108077657581747,-0.43478777859084144,0.3268136548808582,6.0
'Frühling',0.08950993097532668,0.9059208406551207,0.06353734569126572,0.9291659798658405,101.0
'Gewitter',-0.34374182051267604,1.0585018977569014,0.1976509696229794,1.6894484609779563,29.0
'Glatteis',-0.2631591389679845,0.9230159316297527,0.17275139392708447,1.1070637906790013,158.0
'Hasel',0.33098496523645704,0.8611768061682347,0.053744114463416634,0.7544048895677509,11.0
'Herbst',-0.07635065826942945,0.7713400058382257,0.25938809822528025,1.0725829273777931,19.0
'Hochwasser',-0.03442464191643155,0.8608641475211097,0.012558898502227427,1.0726891454343905,65.0
'Holunderbeere',0.6264856524730475,0.9198756331410785,0.35884388592286465,1.3708397177106244,2.0
'Laub',0.4824661549131796,0.9034150667948804,0.04083982908771363,0.9131090032990739,27.0
'Niedrigwasser',-0.3289108122458902,0.8014510140435709,-0.4092360153407184,0.299717269953607,12.0
'Pollen',0.9572393820200088,1.11013333000077,-0.31000772516120567,0.29429268018131466,11.0
'Schnee',-0.046503245106783095,0.9923974315506436,-0.05819293982098019,0.9399322055053833,234.0
'Schneeglöckchen',0.9418183416436273,0.6725261339257437,-0.43612920315406906,0.23590114914036855,7.0
'Sommer',0.06317577801073691,0.8555094469127623,-0.07055745677923748,0.9441775084434701,58.0
'Winter',0.06758264485053105,1.0124841370949462,-0.041190171757179456,0.8683172256657347,275.0
