index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2025-08/01/dehoga-sieht-betriebe-in-bedraengnis-katastrophaler-juli,https://www.zeit.de/news/2025-08/01/dehoga-sieht-betriebe-in-bedraengnis-katastrophaler-juli,0,www.zeit.de,"Schlechtwetter-Sommer: Dehoga sieht Betriebe in Bedrängnis - ""Katastrophaler Juli""","Hier finden Sie Informationen zu dem Thema „Schlechtwetter-Sommer“. Lesen Sie jetzt „Dehoga sieht Betriebe in Bedrängnis - ""Katastrophaler Juli""“.",https://img.zeit.de/news/2025-08/01/dehoga-sieht-betriebe-in-bedraengnis-katastrophaler-juli-image-group/wide__1300x731,2025-08-01T01:30:39Z,,"Die Gastronomie in Rheinland-Pfalz schlägt Alarm angesichts des verregneten Sommers. Die Schlechtwetterlage treffe die Branche in ihrer wichtigsten Saisonzeit mit voller Wucht, sagte Gereon Haumann, … [+2370 chars]",,de,'Sommer'
https://www.zeit.de/news/2025-08/01/gewitter-in-oestlichen-bundeslaendern-erwartet,https://www.zeit.de/news/2025-08/01/gewitter-in-oestlichen-bundeslaendern-erwartet,0,www.zeit.de,Wetteraussichten: Gewitter in östlichen Bundesländern erwartet,Hier finden Sie Informationen zu dem Thema „Wetteraussichten“. Lesen Sie jetzt „Gewitter in östlichen Bundesländern erwartet“.,https://img.zeit.de/news/2025-08/01/gewitter-in-oestlichen-bundeslaendern-erwartet-image-group/wide__1300x731,2025-08-01T03:58:38Z,,"Auf eher ungemütliches Wetter können sich die Menschen in Sachsen, Sachsen-Anhalt und Thüringen einstellen. In allen drei Bundesländern ist im Tagesverlauf teils mit Gewittern, Starkregen und Böen zu… [+541 chars]",,de,'Gewitter'
https://www.stern.de/gesellschaft/regional/sachsen/wetter--allergiker-koennen-durchschnaufen---wenig-pollen-in-der-luft-35942082.html,https://www.stern.de/gesellschaft/regional/sachsen/wetter--allergiker-koennen-durchschnaufen---wenig-pollen-in-der-luft-35942082.html,0,www.stern.de,Wetter: Allergiker können durchschnaufen - Wenig Pollen in der Luft,Leipzig (sn) - Allergiker in Sachsen können wegen des wechselhaften Wetters weiter durchatmen. Der Regen sorgt für eine geringe Konzentration von Beifuß,https://image.stern.de/35942084/t/4G/v1/w1440/r1.7778/-/01--lago3oaknqv5axs2048jpeg---79819e385ca76d13.jpg,2025-08-01T10:52:10Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Der Regen trübt in Sachsen den Ferienspaß. Für Allergiker sorgt das wechselhafte Wetter jedoch auch für eine Verschnaufpause.
Allergiker in Sach… [+1333 chars]",,de,'Pollen'
https://www.zeit.de/news/2025-08/01/allergiker-koennen-durchschnaufen-wenig-pollen-in-der-luft,https://www.zeit.de/news/2025-08/01/allergiker-koennen-durchschnaufen-wenig-pollen-in-der-luft,0,www.zeit.de,Wetter: Allergiker können durchschnaufen - Wenig Pollen in der Luft,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Allergiker können durchschnaufen - Wenig Pollen in der Luft“.,https://img.zeit.de/news/2025-08/01/allergiker-koennen-durchschnaufen-wenig-pollen-in-der-luft-image-group/wide__1300x731,2025-08-01T10:52:10Z,https://web.archive.org/web/20250815103118/https://www.zeit.de/news/2025-08/01/allergiker-koennen-durchschnaufen-wenig-pollen-in-der-luft,"Allergiker in Sachsen können wegen des wechselhaften Wetters weiter durchatmen. Der Regen sorgt für eine geringe Konzentration von Beifuß in der Luft, wie Christina Endler vom Zentrum für Medizin-Met… [+1192 chars]",,de,'Pollen'
https://www.zeit.de/news/2025-08/02/schauer-und-gewitter-am-ersten-sommerferienwochenende,https://www.zeit.de/news/2025-08/02/schauer-und-gewitter-am-ersten-sommerferienwochenende,0,www.zeit.de,Wetterausblick: Schauer und Gewitter am ersten Sommerferienwochenende,Hier finden Sie Informationen zu dem Thema „Wetterausblick“. Lesen Sie jetzt „Schauer und Gewitter am ersten Sommerferienwochenende“.,https://img.zeit.de/news/2025-08/02/schauer-und-gewitter-am-ersten-sommerferienwochenende-image-group/wide__1300x731,2025-08-02T06:53:20Z,,"Wer sich auf Sonne zum Ferienstart gefreut hat, braucht vielerorts Geduld: Regen und Gewitter bestimmen das Wochenende in großen Teilen Bayerns. Ein Tief bringt Schauer und kühle Temperaturen in den … [+1279 chars]",,de,'Gewitter'
https://www.zeit.de/news/2025-08/02/regen-und-gewitter-vermiesen-erstes-sommerferienwochenende,https://www.zeit.de/news/2025-08/02/regen-und-gewitter-vermiesen-erstes-sommerferienwochenende,0,www.zeit.de,Wetterbericht: Regen und Gewitter vermiesen erstes Sommerferienwochenende,Hier finden Sie Informationen zu dem Thema „Wetterbericht“. Lesen Sie jetzt „Regen und Gewitter vermiesen erstes Sommerferienwochenende“.,https://img.zeit.de/news/2025-08/02/regen-und-gewitter-vermiesen-erstes-sommerferienwochenende-image-group/wide__1300x731,2025-08-02T06:56:33Z,,"Wer am Wochenende in Baden-Württemberg unterwegs ist, sollte wettertechnisch flexibel bleiben - und sicherheitshalber einen Schirm oder eine Regenjacke dabeihaben. Denn laut Prognose des Deutschen We… [+1567 chars]",,de,'Sommer'
https://www.zeit.de/gesellschaft/zeitgeschehen/2025-08/polen-ukraine-krieg-militaertraining,https://www.zeit.de/gesellschaft/zeitgeschehen/2025-08/polen-ukraine-krieg-militaertraining,0,www.zeit.de,Krieg in der Ukraine: 10.000 Polen absolvieren Sommer-Bootcamp bei der Armee,Wegen der russischen Bedrohung setzt Polen zusehends auf die Ausbildung freiwilliger Reservisten. Bis 2027 sollen jährlich 100.000 ein Bootcamp der Armee durchlaufen.,https://img.zeit.de/gesellschaft/2025-08/polen-ukraine-krieg-militaertraining-bild/wide__1300x731,2025-08-02T06:57:29Z,http://archive.md/20250802081832/https://www.zeit.de/gesellschaft/zeitgeschehen/2025-08/polen-ukraine-krieg-militaertraining,"Angesichts der russischen Bedrohung absolvieren in diesem Sommer knapp 10.000 junge Menschen in Polen ein Bootcamp bei der Armee. ""Das Training umfasst Schieß- und Taktikunterricht, Feldstudien und … [+1765 chars]",,de,'Sommer'
https://www.zeit.de/news/2025-08/02/gewitter-und-ein-bisschen-sonne-in-mecklenburg-vorpommern,https://www.zeit.de/news/2025-08/02/gewitter-und-ein-bisschen-sonne-in-mecklenburg-vorpommern,0,www.zeit.de,Wetter: Gewitter und ein bisschen Sonne in Mecklenburg-Vorpommern,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Gewitter und ein bisschen Sonne in Mecklenburg-Vorpommern“.,https://img.zeit.de/news/2025-08/02/gewitter-und-ein-bisschen-sonne-in-mecklenburg-vorpommern-image-group/wide__1300x731,2025-08-02T09:05:27Z,,Das aktuelle Wettertief dominiert auch am Wochenende noch in Mecklenburg-Vorpommern. Der Deutsche Wetterdienst (DWD) sagt für den Nordosten Deutschlands starke Bewölkung mit regionalen Schauern vorau… [+639 chars],,de,'Gewitter'
https://www.maclife.de/news/ipados-26-multitasking-besten-tipps-fenster-layouts-100125992.html,https://www.maclife.de/news/ipados-26-multitasking-besten-tipps-fenster-layouts-100125992.html,0,www.maclife.de,Vorschau: Multitasking am iPad mit iPadOS 26,"Zweiter Frühling für das iPad! Mit iPadOS 26 lernt das Tablet vom Mac. Dabei sind die Neuerungen im Bereich Multitasking derart clever, dass die Bedienung des iPad deutlich besser von der Hand geht, ohne dabei bloß zum „Mac mit Touchscreen“ zu werden. (Weiter…",https://www.maclife.de/media/maclife/styles/tec_frontend_opengraph/public/images/editors/2025_31/image-125992--4617039.jpg?itok=DZNek1vj,2025-08-02T10:00:00Z,,"1: Magnetische Layouts fürs Multitasking
Wer einen Finger einen Augenblick auf dem grünen Ampel-Knopf ruhen lässt, kann über das sich daraufhin öffnende Menü Fenster elegant nebeneinander anordnen o… [+720 chars]",,de,'Frühling'
https://www.diepresse.com/19953114/stadtgeschichten-die-bedrohte-altstadt-von-tiflis,https://www.diepresse.com/19953114/stadtgeschichten-die-bedrohte-altstadt-von-tiflis,0,www.diepresse.com,Stadtgeschichten: Die bedrohte Altstadt von Tiflis [premium],"Das alte Tiflis ist unglaublich charmant – und droht zu verfallen. Wenn historische Gebäude „übersaniert“ werden, wird das komplizierte soziale Gefüge oft zerstört. Ein Rundgang durch das Zentrum der georgischen Hauptstadt, das zwischen zwei Extremen aufgerie…",https://img.diepresse.com/public/incoming/6ec4sv-1406203403/alternates/DPR_SOCIAL_MAGAZIN/1406203403,2025-08-02T14:07:38Z,http://archive.md/20250803125305/https://www.diepresse.com/19953114/stadtgeschichten-die-bedrohte-altstadt-von-tiflis,"Das alte Tiflis ist unglaublich charmant und droht zu verfallen. Wenn historische Gebäude übersaniert werden, wird das komplizierte soziale Gefüge oft zerstört. Ein Rundgang durch das Zentrum der geo… [+1418 chars]",,de,'Laub'
